acc_train=0.009208672586197635,acc_loss=2.156970500946045,val_acc=0.01423705798285953,val_loss=2.146377570927143
acc_train=0.014406776265510414,acc_loss=2.1430606842041016,val_acc=0.013860231377587906,val_loss=2.1456693708896637
acc_train=0.012950310035959438,acc_loss=2.1448028087615967,val_acc=0.014150975267068948,val_loss=2.143448084592819
acc_train=0.011695322917206964,acc_loss=2.162534236907959,val_acc=0.01421034772579418,val_loss=2.1417892947793007
acc_train=0.012190975600585272,acc_loss=2.1454250812530518,val_acc=0.014235013081799405,val_loss=2.140181042253971
acc_train=0.010410776918860741,acc_loss=2.1489343643188477,val_acc=0.014071252901868725,val_loss=2.1390816643834114
acc_train=0.014249613805389777,acc_loss=2.140934944152832,val_acc=0.013968889435130541,val_loss=2.1374556869268417
acc_train=0.017081761102776313,acc_loss=2.1243910789489746,val_acc=0.013947202439619,val_loss=2.1360437870025635
acc_train=0.008941420095897467,acc_loss=2.1348681449890137,val_acc=0.014126900979973612,val_loss=2.1346595510840416
acc_train=0.011463843600561885,acc_loss=2.1457977294921875,val_acc=0.013898346427233843,val_loss=2.1335412859916687
acc_train=0.015068665959175283,acc_loss=2.1344850063323975,val_acc=0.014096874802714808,val_loss=2.131302312016487
acc_train=0.013442545802297161,acc_loss=2.1296870708465576,val_acc=0.014122857404971472,val_loss=2.1297558397054672
acc_train=0.012920487434424725,acc_loss=2.1398115158081055,val_acc=0.014035661249383748,val_loss=2.1282022073864937
acc_train=0.011532244101084934,acc_loss=2.1284615993499756,val_acc=0.014129880928613638,val_loss=2.1263836547732353
acc_train=0.01619565148124751,acc_loss=2.1287107467651367,val_acc=0.013914393598837954,val_loss=2.1261214166879654
acc_train=0.011884458823824802,acc_loss=2.1400930881500244,val_acc=0.014089696161513983,val_loss=2.123737581074238
acc_train=0.010628984881043876,acc_loss=2.1323697566986084,val_acc=0.013889768698301226,val_loss=2.122701719403267
acc_train=0.011975794080937054,acc_loss=2.141051769256592,val_acc=0.013869677248488303,val_loss=2.1215817779302597
acc_train=0.012914946200361894,acc_loss=2.1272048950195312,val_acc=0.013918273141922573,val_loss=2.1204371824860573
acc_train=0.01254540182809655,acc_loss=2.121241807937622,val_acc=0.013719220943906648,val_loss=2.1189172193408012
acc_train=0.00953151918811946,acc_loss=2.1294777393341064,val_acc=0.013948575206324072,val_loss=2.117506429553032
acc_train=0.011723502213414009,acc_loss=2.133246898651123,val_acc=0.01393003468506825,val_loss=2.1153571531176567
acc_train=0.010614077084001137,acc_loss=2.124396800994873,val_acc=0.013796747420557625,val_loss=2.1149467900395393
acc_train=0.013812195932023841,acc_loss=2.1249349117279053,val_acc=0.013648770568787686,val_loss=2.113218553364277
acc_train=0.006460431097515485,acc_loss=2.124593734741211,val_acc=0.013885818369543078,val_loss=2.1121851801872253
acc_train=0.01700237372992085,acc_loss=2.1122589111328125,val_acc=0.01376627991706873,val_loss=2.110740639269352
acc_train=0.011102259331346061,acc_loss=2.1159303188323975,val_acc=0.013666906451090801,val_loss=2.1100301072001457
acc_train=0.012210612899713024,acc_loss=2.1063008308410645,val_acc=0.013842043706560662,val_loss=2.1073806434869766
acc_train=0.008765290235680553,acc_loss=2.12929630279541,val_acc=0.013936620092284819,val_loss=2.106012687087059
acc_train=0.010529773372246289,acc_loss=2.1096994876861572,val_acc=0.01391084193380579,val_loss=2.104770004749298
acc_train=0.007465508477814688,acc_loss=2.1261188983917236,val_acc=0.013868513257878991,val_loss=2.103353723883629
acc_train=0.016379023919288253,acc_loss=2.1073496341705322,val_acc=0.013799388932611425,val_loss=2.102425277233124
acc_train=0.009044045873213058,acc_loss=2.1223766803741455,val_acc=0.013668885178992755,val_loss=2.1018868014216423
acc_train=0.012575157405899283,acc_loss=2.109605312347412,val_acc=0.013965150699146386,val_loss=2.0994587540626526
acc_train=0.011900040044196359,acc_loss=2.110854387283325,val_acc=0.013828581710738926,val_loss=2.0981047451496124
acc_train=0.008655889509745997,acc_loss=2.1188719272613525,val_acc=0.013899945376562264,val_loss=2.0970214381814003
acc_train=0.013477334467302803,acc_loss=2.1001341342926025,val_acc=0.01372336857158225,val_loss=2.095913738012314
acc_train=0.010714049990939976,acc_loss=2.1048507690429688,val_acc=0.013793731821287458,val_loss=2.0946168527007103
acc_train=0.011565479545747742,acc_loss=2.111436367034912,val_acc=0.01375287660091306,val_loss=2.0934605300426483
acc_train=0.013406540044488428,acc_loss=2.1012048721313477,val_acc=0.013904207988052971,val_loss=2.0920024514198303
acc_train=0.009544709778404287,acc_loss=2.102785348892212,val_acc=0.013684762551690415,val_loss=2.091499447822571
acc_train=0.01134098870014701,acc_loss=2.1063883304595947,val_acc=0.013790752197473019,val_loss=2.0897353067994118
acc_train=0.013932982619454257,acc_loss=2.085735559463501,val_acc=0.013621213097583136,val_loss=2.0884701013565063
acc_train=0.007537610562233803,acc_loss=2.106011152267456,val_acc=0.013931193078056736,val_loss=2.0859683752059937
acc_train=0.00793512447342036,acc_loss=2.0983853340148926,val_acc=0.013525483342721604,val_loss=2.0860676020383835
acc_train=0.014296676487645897,acc_loss=2.0879595279693604,val_acc=0.013806025368321538,val_loss=2.0836197808384895
acc_train=0.007237140718237969,acc_loss=2.1090848445892334,val_acc=0.007718726032348799,val_loss=2.0823795944452286
acc_train=0.003319656938703836,acc_loss=2.1037542819976807,val_acc=0.007059107876740665,val_loss=2.0817944929003716
acc_train=0.0059685995514132655,acc_loss=2.0805280208587646,val_acc=0.010371085494306424,val_loss=2.080061748623848
acc_train=0.00747386937173555,acc_loss=2.084709882736206,val_acc=0.0066493565044112276,val_loss=2.0797483399510384
acc_train=0.004832290631637623,acc_loss=2.09008526802063,val_acc=0.007207901996584833,val_loss=2.076833486557007
acc_train=0.004672822838866945,acc_loss=2.0894935131073,val_acc=0.013530611080746715,val_loss=2.076751321554184
acc_train=0.01929310289371506,acc_loss=2.066477060317993,val_acc=0.013888616998655921,val_loss=2.0745855420827866
